empnumber,first,last,display,email,samaccountname,street,city,state,zip,country,phone,Company
678119,Laylah,Mcclure,Laylah Mcclure,Laylah.Mcclure@contoso.com,678119,322 Grant Avenue,Martinsville,VA,24112,US,5551322852,ContosoUS
856334,Brooks,Gomez,Brooks Gomez,Brooks.Gomez@contoso.com,856334,461 Orchard Street,Windsor Mill,MD,21244,US,5557887851,ContosoUS
678622,Semaj,Allison,Semaj Allison,Semaj.Allison@contoso.com,678622,211 Sycamore Lane,Hanover Park,IL,60133,US,5559913952,ContosoUS
960802,Lillianna,Ramsey,Lillianna Ramsey,Lillianna.Ramsey@contoso.com,960802,506 College Street,Flushing,NY,11354,US,5555899621,ContosoUS
523731,Ana,Haney,Ana Haney,Ana.Haney@contoso.com,523731,733 Church Street South,Revere,MA,2151,US,5553012815,ContosoUS
655532,Piper,Ochoa,Piper Ochoa,Piper.Ochoa@contoso.com,655532,994 Fairview Avenue,Lexington,NC,27292,US,5559361606,ContosoUS
139077,Ari,Stephenson,Ari Stephenson,Ari.Stephenson@contoso.com,139077,461 Orchard Street,Windsor Mill,MD,21244,US,5557567629,ContosoUS
996370,Saige,Gordon,Saige Gordon,Saige.Gordon@contoso.com,996370,322 Grant Avenue,Martinsville,VA,24112,US,5551895214,ContosoUS
178957,Hope,Werner,Hope Werner,Hope.Werner@contoso.com,178957,733 Church Street South,Revere,MA,2151,US,5554279952,ContosoUS
541882,Ingrid,Casey,Ingrid Casey,Ingrid.Casey@contoso.com,541882,222 Bay Street,Lorain,OH,44052,US,5555594879,ContosoUS
739528,Bruno,Farmer,Bruno Farmer,Bruno.Farmer@contoso.com,739528,683 River Street,Opa Locka,FL,33054,US,5556817324,ContosoUS
356326,Elisha,Dickerson,Elisha Dickerson,Elisha.Dickerson@contoso.com,356326,722 Academy Street,Wilkes Barre,PA,18702,US,5555331438,ContosoUS
805591,Lucille,Bishop,Lucille Bishop,Lucille.Bishop@contoso.com,805591,222 Bay Street,Lorain,OH,44052,US,5558260520,ContosoUS
892398,Baylee,Hogan,Baylee Hogan,Baylee.Hogan@contoso.com,892398,506 College Street,Flushing,NY,11354,US,5557092267,ContosoUS
838012,Jaylin,Blankenship,Jaylin Blankenship,Jaylin.Blankenship@contoso.com,838012,506 College Street,Flushing,NY,11354,US,5552515298,ContosoUS
220397,Eve,Raymond,Eve Raymond,Eve.Raymond@contoso.com,220397,653 Henry Street,Highland Park,IL,60035,US,5557507905,ContosoUS
971772,Maliyah,Rodgers,Maliyah Rodgers,Maliyah.Rodgers@contoso.com,971772,64 Circle Drive,New Britain,CT,6051,US,5558307427,ContosoUS
875485,Tobias,Briggs,Tobias Briggs,Tobias.Briggs@contoso.com,875485,461 Orchard Street,Windsor Mill,MD,21244,US,5556788442,ContosoUS
369180,Darren,Mckinney,Darren Mckinney,Darren.Mckinney@contoso.com,369180,358 5th Street North,West Chester,PA,19380,US,5559088571,ContosoUS
610561,Gary,Browning,Gary Browning,Gary.Browning@contoso.com,610561,322 Grant Avenue,Martinsville,VA,24112,US,5556957622,ContosoUS
692408,Urijah,Pennington,Urijah Pennington,Urijah.Pennington@contoso.com,692408,553 B Street,Freehold,NJ,7728,US,5558438280,ContosoUS
420783,Isaias,Meadows,Isaias Meadows,Isaias.Meadows@contoso.com,420783,553 B Street,Freehold,NJ,7728,US,5554645266,ContosoUS
202218,Lexi,Reilly,Lexi Reilly,Lexi.Reilly@contoso.com,202218,358 5th Street North,West Chester,PA,19380,US,5552317152,ContosoUS
378909,Isabella,Russell,Isabella Russell,Isabella.Russell@contoso.com,378909,653 Henry Street,Highland Park,IL,60035,US,5551591558,ContosoUS
598628,Brent,Flowers,Brent Flowers,Brent.Flowers@contoso.com,598628,683 River Street,Opa Locka,FL,33054,US,5559463661,ContosoUS
962554,Nayeli,Wall,Nayeli Wall,Nayeli.Wall@contoso.com,962554,381 Lake Avenue,Ankeny,IA,50023,US,5554075503,ContosoUS
261798,Ryleigh,Bowen,Ryleigh Bowen,Ryleigh.Bowen@contoso.com,261798,722 Academy Street,Wilkes Barre,PA,18702,US,5556315636,ContosoUS
