empnumber,first,last,display,email,samaccountname,street,city,state,zip,country,phone,Company
303499,Ashly,Sweeney,Ashly Sweeney,Ashly.Sweeney@eu.contoso.com,303499,553 B Street,Freehold,NJ,7728,US,5558156576,ContosoEU
361821,Ximena,Farley,Ximena Farley,Ximena.Farley@eu.contoso.com,361821,222 Bay Street,Lorain,OH,44052,US,5552783919,ContosoEU
982449,Luke,Goodman,Luke Goodman,Luke.Goodman@eu.contoso.com,982449,316 Clinton Street,Gallatin,TN,37066,US,5554652388,ContosoEU
520617,Gregory,Boyd,Gregory Boyd,Gregory.Boyd@eu.contoso.com,520617,316 Clinton Street,Gallatin,TN,37066,US,5556020063,ContosoEU
249880,Princess,Li,Princess Li,Princess.Li@eu.contoso.com,249880,104 Canterbury Court,Pickerington,OH,43147,US,5551343307,ContosoEU
379711,Easton,Franklin,Easton Franklin,Easton.Franklin@eu.contoso.com,379711,64 Circle Drive,New Britain,CT,6051,US,5552401160,ContosoEU
784389,Deangelo,Bennett,Deangelo Bennett,Deangelo.Bennett@eu.contoso.com,784389,506 College Street,Flushing,NY,11354,US,5552199919,ContosoEU
416041,Maurice,Maxwell,Maurice Maxwell,Maurice.Maxwell@eu.contoso.com,416041,501 Church Street North,Danville,VA,24540,US,5554436963,ContosoEU
849769,Macey,Harris,Macey Harris,Macey.Harris@eu.contoso.com,849769,722 Academy Street,Wilkes Barre,PA,18702,US,5551825775,ContosoEU
620735,Nehemiah,Garza,Nehemiah Garza,Nehemiah.Garza@eu.contoso.com,620735,461 Orchard Street,Windsor Mill,MD,21244,US,5551477902,ContosoEU
664950,Billy,Contreras,Billy Contreras,Billy.Contreras@eu.contoso.com,664950,112 Front Street,San Lorenzo,CA,94580,US,5558829399,ContosoEU
168094,Messiah,Bright,Messiah Bright,Messiah.Bright@eu.contoso.com,168094,211 Sycamore Lane,Hanover Park,IL,60133,US,5558005502,ContosoEU
283596,Gael,Schroeder,Gael Schroeder,Gael.Schroeder@eu.contoso.com,283596,683 River Street,Opa Locka,FL,33054,US,5559833175,ContosoEU
639064,Nathan,Gentry,Nathan Gentry,Nathan.Gentry@eu.contoso.com,639064,64 Circle Drive,New Britain,CT,6051,US,5559754972,ContosoEU
772781,Jadon,Shaffer,Jadon Shaffer,Jadon.Shaffer@eu.contoso.com,772781,506 College Street,Flushing,NY,11354,US,5556144716,ContosoEU
297863,Makenna,Bolton,Makenna Bolton,Makenna.Bolton@eu.contoso.com,297863,381 Lake Avenue,Ankeny,IA,50023,US,5552385804,ContosoEU
286794,Julianne,Larsen,Julianne Larsen,Julianne.Larsen@eu.contoso.com,286794,553 B Street,Freehold,NJ,7728,US,5555009136,ContosoEU
927654,Natalee,Evans,Natalee Evans,Natalee.Evans@eu.contoso.com,927654,112 Front Street,San Lorenzo,CA,94580,US,5558994670,ContosoEU
538068,Yaretzi,Castillo,Yaretzi Castillo,Yaretzi.Castillo@eu.contoso.com,538068,211 Sycamore Lane,Hanover Park,IL,60133,US,5553215708,ContosoEU
972944,Madden,Black,Madden Black,Madden.Black@eu.contoso.com,972944,722 Academy Street,Wilkes Barre,PA,18702,US,5551415331,ContosoEU
874202,Kolten,Blanchard,Kolten Blanchard,Kolten.Blanchard@eu.contoso.com,874202,683 River Street,Opa Locka,FL,33054,US,5556572877,ContosoEU
139043,Amiya,Conley,Amiya Conley,Amiya.Conley@eu.contoso.com,139043,34 Woodland Avenue,Henrico,VA,23228,US,5551518724,ContosoEU
883617,Lillie,Mullen,Lillie Mullen,Lillie.Mullen@eu.contoso.com,883617,381 Lake Avenue,Ankeny,IA,50023,US,5558364784,ContosoEU
483610,Mya,Fletcher,Mya Fletcher,Mya.Fletcher@eu.contoso.com,483610,506 College Street,Flushing,NY,11354,US,5556352691,ContosoEU
708924,Lizbeth,Mcconnell,Lizbeth Mcconnell,Lizbeth.Mcconnell@eu.contoso.com,708924,104 Canterbury Court,Pickerington,OH,43147,US,5552596486,ContosoEU
339274,Izabella,Ayers,Izabella Ayers,Izabella.Ayers@eu.contoso.com,339274,733 Church Street South,Revere,MA,2151,US,5551514485,ContosoEU
860363,Nancy,Moran,Nancy Moran,Nancy.Moran@eu.contoso.com,860363,104 Canterbury Court,Pickerington,OH,43147,US,5559371311,ContosoEU
225836,Alanna,Faulkner,Alanna Faulkner,Alanna.Faulkner@eu.contoso.com,225836,733 Church Street South,Revere,MA,2151,US,5552443584,ContosoEU
905016,Tanya,Hansen,Tanya Hansen,Tanya.Hansen@eu.contoso.com,905016,733 Church Street South,Revere,MA,2151,US,5557114797,ContosoEU
360060,Averi,Newton,Averi Newton,Averi.Newton@eu.contoso.com,360060,461 Orchard Street,Windsor Mill,MD,21244,US,5554515270,ContosoEU
906187,Dominique,Chapman,Dominique Chapman,Dominique.Chapman@eu.contoso.com,906187,112 Front Street,San Lorenzo,CA,94580,US,5552159111,ContosoEU
144288,Amari,Hammond,Amari Hammond,Amari.Hammond@eu.contoso.com,144288,34 Woodland Avenue,Henrico,VA,23228,US,5552995430,ContosoEU
916323,Kayla,Krueger,Kayla Krueger,Kayla.Krueger@eu.contoso.com,916323,34 Woodland Avenue,Henrico,VA,23228,US,5558990790,ContosoEU
464126,Shawn,Cox,Shawn Cox,Shawn.Cox@eu.contoso.com,464126,994 Fairview Avenue,Lexington,NC,27292,US,5555951768,ContosoEU
835957,Zaire,Waters,Zaire Waters,Zaire.Waters@eu.contoso.com,835957,733 Church Street South,Revere,MA,2151,US,5559058534,ContosoEU
774961,Roger,Robertson,Roger Robertson,Roger.Robertson@eu.contoso.com,774961,653 Henry Street,Highland Park,IL,60035,US,5556559653,ContosoEU
733771,Chase,Blackwell,Chase Blackwell,Chase.Blackwell@eu.contoso.com,733771,553 B Street,Freehold,NJ,7728,US,5558660088,ContosoEU
886245,Charity,Ali,Charity Ali,Charity.Ali@eu.contoso.com,886245,64 Circle Drive,New Britain,CT,6051,US,5553395352,ContosoEU
863823,Nyasia,Bauer,Nyasia Bauer,Nyasia.Bauer@eu.contoso.com,863823,461 Orchard Street,Windsor Mill,MD,21244,US,5552562905,ContosoEU
344882,Areli,Flores,Areli Flores,Areli.Flores@eu.contoso.com,344882,64 Circle Drive,New Britain,CT,6051,US,5555471957,ContosoEU
583129,Dawson,Vang,Dawson Vang,Dawson.Vang@eu.contoso.com,583129,553 B Street,Freehold,NJ,7728,US,5556357294,ContosoEU
866231,Vanessa,Barr,Vanessa Barr,Vanessa.Barr@eu.contoso.com,866231,381 Lake Avenue,Ankeny,IA,50023,US,5555345856,ContosoEU
874812,Rhianna,Vazquez,Rhianna Vazquez,Rhianna.Vazquez@eu.contoso.com,874812,722 Academy Street,Wilkes Barre,PA,18702,US,5554233081,ContosoEU
880883,Roberto,Welch,Roberto Welch,Roberto.Welch@eu.contoso.com,880883,994 Fairview Avenue,Lexington,NC,27292,US,5553116389,ContosoEU
589876,Julien,Carroll,Julien Carroll,Julien.Carroll@eu.contoso.com,589876,222 Bay Street,Lorain,OH,44052,US,5556133540,ContosoEU
771335,Laila,Mcdonald,Laila Mcdonald,Laila.Mcdonald@eu.contoso.com,771335,653 Henry Street,Highland Park,IL,60035,US,5559873622,ContosoEU
636332,Jase,Hudson,Jase Hudson,Jase.Hudson@eu.contoso.com,636332,316 Clinton Street,Gallatin,TN,37066,US,5556030289,ContosoEU
971073,Belinda,Cameron,Belinda Cameron,Belinda.Cameron@eu.contoso.com,971073,722 Academy Street,Wilkes Barre,PA,18702,US,5553955228,ContosoEU
625379,Jennifer,Hunter,Jennifer Hunter,Jennifer.Hunter@eu.contoso.com,625379,322 Grant Avenue,Martinsville,VA,24112,US,5558688099,ContosoEU
477395,Bryan,Rangel,Bryan Rangel,Bryan.Rangel@eu.contoso.com,477395,501 Church Street North,Danville,VA,24540,US,5558222380,ContosoEU
519662,Camren,Serrano,Camren Serrano,Camren.Serrano@eu.contoso.com,519662,112 Front Street,San Lorenzo,CA,94580,US,5552616365,ContosoEU
820795,Samara,Blake,Samara Blake,Samara.Blake@eu.contoso.com,820795,222 Bay Street,Lorain,OH,44052,US,5554119676,ContosoEU
266086,Carsen,Barry,Carsen Barry,Carsen.Barry@eu.contoso.com,266086,994 Fairview Avenue,Lexington,NC,27292,US,5553967214,ContosoEU
254315,Kristin,Best,Kristin Best,Kristin.Best@eu.contoso.com,254315,222 Bay Street,Lorain,OH,44052,US,5551864894,ContosoEU
463315,Akira,Wang,Akira Wang,Akira.Wang@eu.contoso.com,463315,211 Sycamore Lane,Hanover Park,IL,60133,US,5551315065,ContosoEU
992513,Gerardo,Ray,Gerardo Ray,Gerardo.Ray@eu.contoso.com,992513,653 Henry Street,Highland Park,IL,60035,US,5558476284,ContosoEU
232292,Anderson,Glenn,Anderson Glenn,Anderson.Glenn@eu.contoso.com,232292,381 Lake Avenue,Ankeny,IA,50023,US,5558139631,ContosoEU
474248,Nathen,Jones,Nathen Jones,Nathen.Jones@eu.contoso.com,474248,358 5th Street North,West Chester,PA,19380,US,5557467718,ContosoEU
644053,Tony,Fuentes,Tony Fuentes,Tony.Fuentes@eu.contoso.com,644053,64 Circle Drive,New Britain,CT,6051,US,5553971231,ContosoEU
995098,Danna,Schaefer,Danna Schaefer,Danna.Schaefer@eu.contoso.com,995098,653 Henry Street,Highland Park,IL,60035,US,5555246943,ContosoEU
216874,Lina,Hurley,Lina Hurley,Lina.Hurley@eu.contoso.com,216874,381 Lake Avenue,Ankeny,IA,50023,US,5553233517,ContosoEU
977678,Hailee,Lutz,Hailee Lutz,Hailee.Lutz@eu.contoso.com,977678,104 Canterbury Court,Pickerington,OH,43147,US,5553542332,ContosoEU
905816,Ashtyn,Walter,Ashtyn Walter,Ashtyn.Walter@eu.contoso.com,905816,653 Henry Street,Highland Park,IL,60035,US,5558353994,ContosoEU
958493,Dillan,Garner,Dillan Garner,Dillan.Garner@eu.contoso.com,958493,501 Church Street North,Danville,VA,24540,US,5556276220,ContosoEU
835915,Jane,Estrada,Jane Estrada,Jane.Estrada@eu.contoso.com,835915,322 Grant Avenue,Martinsville,VA,24112,US,5552079292,ContosoEU
386045,Hana,Goodwin,Hana Goodwin,Hana.Goodwin@eu.contoso.com,386045,104 Canterbury Court,Pickerington,OH,43147,US,5553496265,ContosoEU
386656,Leo,Bowman,Leo Bowman,Leo.Bowman@eu.contoso.com,386656,653 Henry Street,Highland Park,IL,60035,US,5551838240,ContosoEU
509543,Zain,Reynolds,Zain Reynolds,Zain.Reynolds@eu.contoso.com,509543,322 Grant Avenue,Martinsville,VA,24112,US,5553328956,ContosoEU
607616,Leilani,Harrison,Leilani Harrison,Leilani.Harrison@eu.contoso.com,607616,211 Sycamore Lane,Hanover Park,IL,60133,US,5554202273,ContosoEU
962476,Patience,Underwood,Patience Underwood,Patience.Underwood@eu.contoso.com,962476,461 Orchard Street,Windsor Mill,MD,21244,US,5556478551,ContosoEU
793371,Lawrence,Ellison,Lawrence Ellison,Lawrence.Ellison@eu.contoso.com,793371,683 River Street,Opa Locka,FL,33054,US,5555619089,ContosoEU
529715,Tucker,Barnes,Tucker Barnes,Tucker.Barnes@eu.contoso.com,529715,553 B Street,Freehold,NJ,7728,US,5556070077,ContosoEU
241932,Dulce,Hester,Dulce Hester,Dulce.Hester@eu.contoso.com,241932,222 Bay Street,Lorain,OH,44052,US,5554680698,ContosoEU
467124,Jaqueline,Stark,Jaqueline Stark,Jaqueline.Stark@eu.contoso.com,467124,553 B Street,Freehold,NJ,7728,US,5554907783,ContosoEU
395977,Tyrell,Lambert,Tyrell Lambert,Tyrell.Lambert@eu.contoso.com,395977,381 Lake Avenue,Ankeny,IA,50023,US,5558364647,ContosoEU
404265,Delilah,Torres,Delilah Torres,Delilah.Torres@eu.contoso.com,404265,358 5th Street North,West Chester,PA,19380,US,5552975505,ContosoEU
977075,Maleah,Wyatt,Maleah Wyatt,Maleah.Wyatt@eu.contoso.com,977075,994 Fairview Avenue,Lexington,NC,27292,US,5558391524,ContosoEU
184676,Rylie,Atkins,Rylie Atkins,Rylie.Atkins@eu.contoso.com,184676,733 Church Street South,Revere,MA,2151,US,5555739411,ContosoEU
295003,Moses,Hendrix,Moses Hendrix,Moses.Hendrix@eu.contoso.com,295003,733 Church Street South,Revere,MA,2151,US,5557804956,ContosoEU
904467,Jax,Melendez,Jax Melendez,Jax.Melendez@eu.contoso.com,904467,358 5th Street North,West Chester,PA,19380,US,5552358586,ContosoEU
732903,Sandra,Guzman,Sandra Guzman,Sandra.Guzman@eu.contoso.com,732903,112 Front Street,San Lorenzo,CA,94580,US,5556129625,ContosoEU
430205,Aubrey,Sosa,Aubrey Sosa,Aubrey.Sosa@eu.contoso.com,430205,316 Clinton Street,Gallatin,TN,37066,US,5559337786,ContosoEU
538793,Alfred,Hall,Alfred Hall,Alfred.Hall@eu.contoso.com,538793,859 Riverside Drive,Deland,FL,32720,US,5555811526,ContosoEU
136573,Emilee,Barrett,Emilee Barrett,Emilee.Barrett@eu.contoso.com,136573,381 Lake Avenue,Ankeny,IA,50023,US,5555019087,ContosoEU
575657,Ishaan,Livingston,Ishaan Livingston,Ishaan.Livingston@eu.contoso.com,575657,64 Circle Drive,New Britain,CT,6051,US,5551061369,ContosoEU
696504,Hassan,Reed,Hassan Reed,Hassan.Reed@eu.contoso.com,696504,34 Woodland Avenue,Henrico,VA,23228,US,5555925476,ContosoEU
422376,Agustin,Bryan,Agustin Bryan,Agustin.Bryan@eu.contoso.com,422376,34 Woodland Avenue,Henrico,VA,23228,US,5559078789,ContosoEU
842513,Bronson,Burton,Bronson Burton,Bronson.Burton@eu.contoso.com,842513,733 Church Street South,Revere,MA,2151,US,5552268722,ContosoEU
987567,Ivan,Sloan,Ivan Sloan,Ivan.Sloan@eu.contoso.com,987567,316 Clinton Street,Gallatin,TN,37066,US,5557923595,ContosoEU
985293,Miles,Christensen,Miles Christensen,Miles.Christensen@eu.contoso.com,985293,322 Grant Avenue,Martinsville,VA,24112,US,5553384624,ContosoEU
863989,Angela,Hill,Angela Hill,Angela.Hill@eu.contoso.com,863989,553 B Street,Freehold,NJ,7728,US,5552163104,ContosoEU
205205,Cierra,Mayer,Cierra Mayer,Cierra.Mayer@eu.contoso.com,205205,222 Bay Street,Lorain,OH,44052,US,5555763308,ContosoEU
579241,Omar,Ramos,Omar Ramos,Omar.Ramos@eu.contoso.com,579241,461 Orchard Street,Windsor Mill,MD,21244,US,5558174266,ContosoEU
382034,Melissa,Cohen,Melissa Cohen,Melissa.Cohen@eu.contoso.com,382034,722 Academy Street,Wilkes Barre,PA,18702,US,5558554264,ContosoEU
454322,Elliot,Boyle,Elliot Boyle,Elliot.Boyle@eu.contoso.com,454322,64 Circle Drive,New Britain,CT,6051,US,5554130158,ContosoEU
479265,Demarcus,Hale,Demarcus Hale,Demarcus.Hale@eu.contoso.com,479265,381 Lake Avenue,Ankeny,IA,50023,US,5559389592,ContosoEU
