empnumber,first,last,display,email,samaccountname,street,city,state,zip,country,phone,Company
905074,Marcus,Villegas,Marcus Villegas,Marcus.Villegas@fabrikam.com,905074,222 Bay Street,Lorain,OH,44052,US,5557755953,Fabrikam
357203,Linda,Kennedy,Linda Kennedy,Linda.Kennedy@fabrikam.com,357203,104 Canterbury Court,Pickerington,OH,43147,US,5558648517,Fabrikam
598647,Nora,Robinson,Nora Robinson,Nora.Robinson@fabrikam.com,598647,104 Canterbury Court,Pickerington,OH,43147,US,5551160665,Fabrikam
555822,Marley,Singh,Marley Singh,Marley.Singh@fabrikam.com,555822,322 Grant Avenue,Martinsville,VA,24112,US,5553091631,Fabrikam
492068,Gauge,Porter,Gauge Porter,Gauge.Porter@fabrikam.com,492068,104 Canterbury Court,Pickerington,OH,43147,US,5558454869,Fabrikam
923442,Rocco,Fowler,Rocco Fowler,Rocco.Fowler@fabrikam.com,923442,112 Front Street,San Lorenzo,CA,94580,US,5559051100,Fabrikam
566939,Dexter,Frey,Dexter Frey,Dexter.Frey@fabrikam.com,566939,506 College Street,Flushing,NY,11354,US,5557633069,Fabrikam
904990,Elianna,Medina,Elianna Medina,Elianna.Medina@fabrikam.com,904990,683 River Street,Opa Locka,FL,33054,US,5555954846,Fabrikam
633710,Chelsea,Zimmerman,Chelsea Zimmerman,Chelsea.Zimmerman@fabrikam.com,633710,506 College Street,Flushing,NY,11354,US,5554580444,Fabrikam
729448,Lana,Hunt,Lana Hunt,Lana.Hunt@fabrikam.com,729448,461 Orchard Street,Windsor Mill,MD,21244,US,5556774469,Fabrikam
346945,Kenzie,Norton,Kenzie Norton,Kenzie.Norton@fabrikam.com,346945,683 River Street,Opa Locka,FL,33054,US,5559546481,Fabrikam
827309,Lucian,Bonilla,Lucian Bonilla,Lucian.Bonilla@fabrikam.com,827309,222 Bay Street,Lorain,OH,44052,US,5555532587,Fabrikam
160492,Edgar,Marks,Edgar Marks,Edgar.Marks@fabrikam.com,160492,222 Bay Street,Lorain,OH,44052,US,5553930053,Fabrikam
408232,Annabella,Gonzalez,Annabella Gonzalez,Annabella.Gonzalez@fabrikam.com,408232,381 Lake Avenue,Ankeny,IA,50023,US,5552465711,Fabrikam
985384,Jay,Calhoun,Jay Calhoun,Jay.Calhoun@fabrikam.com,985384,994 Fairview Avenue,Lexington,NC,27292,US,5553488426,Fabrikam
238813,Sebastian,Benson,Sebastian Benson,Sebastian.Benson@fabrikam.com,238813,461 Orchard Street,Windsor Mill,MD,21244,US,5554619689,Fabrikam
107982,Rosemary,Mcintosh,Rosemary Mcintosh,Rosemary.Mcintosh@fabrikam.com,107982,34 Woodland Avenue,Henrico,VA,23228,US,5556441792,Fabrikam
988286,Rayan,Oneill,Rayan Oneill,Rayan.Oneill@fabrikam.com,988286,722 Academy Street,Wilkes Barre,PA,18702,US,5551438172,Fabrikam
577965,Lorenzo,Galloway,Lorenzo Galloway,Lorenzo.Galloway@fabrikam.com,577965,222 Bay Street,Lorain,OH,44052,US,5553723044,Fabrikam
456686,Dallas,Stein,Dallas Stein,Dallas.Stein@fabrikam.com,456686,722 Academy Street,Wilkes Barre,PA,18702,US,5557679243,Fabrikam
832213,Jeramiah,Mosley,Jeramiah Mosley,Jeramiah.Mosley@fabrikam.com,832213,859 Riverside Drive,Deland,FL,32720,US,5553842761,Fabrikam
774132,Kayleigh,Cooper,Kayleigh Cooper,Kayleigh.Cooper@fabrikam.com,774132,506 College Street,Flushing,NY,11354,US,5559561043,Fabrikam
